iter	Passed	Remaining
171	429	2065
172	430	2058
173	432	2053
174	434	2049
175	436	2043
176	437	2036
177	439	2030
178	444	2038
179	445	2030
180	446	2022
181	448	2014
182	449	2006
183	450	1998
184	451	1990
185	453	1982
186	454	1975
187	455	1968
188	457	1962
189	459	1957
190	460	1950
191	461	1942
192	462	1935
193	464	1928
194	465	1921
195	466	1913
196	467	1906
197	468	1899
198	470	1893
199	473	1892
200	474	1887
201	476	1880
202	477	1876
203	479	1872
204	481	1868
205	483	1863
206	487	1868
207	489	1862
208	490	1856
209	491	1850
210	493	1845
211	494	1839
212	496	1833
213	497	1828
214	499	1822
215	501	1819
216	502	1814
217	504	1808
218	505	1802
219	506	1796
220	508	1791
221	510	1787
222	511	1782
223	513	1777
224	515	1775
225	517	1770
226	518	1766
227	520	1762
228	521	1756
229	523	1751
230	524	1746
231	525	1740
232	527	1735
233	534	1749
234	536	1746
235	537	1741
236	539	1735
237	540	1730
238	541	1724
239	542	1719
240	544	1715
241	546	1710
242	547	1706
243	549	1702
244	550	1697
245	552	1692
246	553	1687
247	554	1682
248	556	1678
249	557	1673
250	559	1670
251	561	1666
252	562	1661
253	564	1658
254	566	1654
255	568	1651
256	569	1647
257	571	1643
258	573	1640
259	575	1636
260	576	1633
261	578	1630
262	580	1627
263	582	1623
264	583	1619
265	585	1614
266	586	1609
267	588	1606
268	589	1602
269	591	1599
270	593	1595
271	594	1590
272	595	1586
273	597	1584
274	599	1580
275	601	1577
276	602	1573
277	604	1569
278	606	1567
279	608	1563
280	609	1559
281	611	1556
282	612	1552
283	613	1547
284	615	1543
285	616	1539
286	618	1535
287	620	1533
288	622	1530
289	623	1527
290	625	1523
291	626	1518
292	627	1514
293	628	1510
294	630	1506
295	631	1502
296	633	1499
297	635	1496
298	636	1492
299	638	1489
300	640	1486
301	641	1482
302	643	1479
303	644	1475
304	645	1471
305	647	1469
306	649	1465
307	650	1462
308	652	1458
309	653	1454
310	654	1450
311	655	1446
312	657	1442
313	658	1438
314	660	1436
315	662	1433
316	663	1429
317	665	1426
318	666	1422
319	667	1418
320	668	1415
321	670	1411
322	671	1407
323	672	1403
324	674	1400
325	676	1398
326	677	1395
327	679	1391
328	680	1387
329	681	1383
330	682	1379
331	683	1375
332	685	1372
333	686	1368
334	687	1364
335	689	1362
336	691	1359
337	692	1356
338	693	1352
339	694	1348
340	696	1345
341	697	1341
342	698	1338
343	699	1334
344	701	1330
345	702	1328
346	704	1325
347	705	1322
348	707	1318
349	708	1315
350	709	1311
351	710	1308
352	711	1304
353	712	1301
354	714	1297
355	715	1294
356	716	1291
357	718	1289
358	720	1286
359	721	1282
360	722	1279
361	724	1277
362	726	1274
363	727	1270
364	728	1267
365	729	1264
366	731	1261
367	733	1258
368	734	1256
369	735	1253
370	737	1249
371	738	1246
372	739	1243
373	740	1240
374	742	1237
375	743	1234
376	744	1230
377	746	1228
378	748	1226
379	749	1223
380	751	1220
381	752	1217
382	753	1214
383	754	1210
384	756	1207
385	757	1204
386	758	1201
387	759	1198
388	761	1196
389	763	1194
390	764	1191
391	766	1188
392	767	1185
393	769	1182
394	770	1180
395	771	1177
396	773	1174
397	774	1171
398	776	1169
399	777	1166
400	779	1164
401	780	1161
402	781	1158
403	783	1155
404	784	1152
405	785	1149
406	786	1146
407	788	1143
408	789	1141
409	791	1139
410	793	1136
411	794	1133
412	795	1130
413	796	1127
414	797	1124
415	799	1121
416	800	1118
417	801	1116
418	802	1113
419	804	1111
420	806	1109
421	808	1107
422	809	1104
423	810	1101
424	812	1098
425	813	1095
426	814	1092
427	815	1089
428	816	1087
429	818	1084
430	820	1083
431	821	1080
432	823	1077
433	825	1076
434	826	1073
435	828	1071
436	830	1069
437	831	1067
438	833	1064
439	835	1062
440	836	1060
441	837	1057
442	839	1055
443	840	1052
444	841	1049
445	842	1046
446	844	1044
447	845	1041
448	846	1038
449	848	1036
450	849	1034
451	851	1032
452	852	1029
453	854	1027
454	855	1024
